player,runs,boundaries,balls_faced,wickets,balls_bowled,runs_conceded,matches,batting_avg,batting_strike_rate,boundaries_percent,bowling_economy,bowling_avg,bowling_strike_rate,catches,Nationality
A Ashish Reddy,280,31,196,18,270,400,28,10,142.86,15.82,8.89,22.22,15,8,Indian
A Badoni,161,18,139,2,12,12,11,14.64,115.83,12.95,6,6,6,8,Indian
A Chandila,4,0,7,11,234,245,12,0.33,57.14,0,6.28,22.27,21.27,2,Overseas
A Chopra,53,7,75,0,0,0,6,8.83,70.67,9.33,0,0,0,2,Indian
A Choudhary,25,2,20,5,108,144,5,5,125,10,8,28.8,21.6,0,Indian
A Dananjaya,4,0,5,0,25,47,1,4,80,0,11.28,470000,250000,0,Overseas
A Flintoff,62,7,57,2,66,106,3,20.67,108.77,12.28,9.64,53,33,3,Overseas
A Kumble,35,3,49,45,983,1089,42,0.83,71.43,6.12,6.65,24.2,21.84,9,Indian
A Manohar,108,17,79,0,0,0,7,15.43,136.71,21.52,0,0,0,4,Indian
A Mishra,362,34,410,166,3317,4022,154,2.35,88.29,8.29,7.28,24.23,19.98,18,Indian
A Mithun,34,5,26,7,312,477,16,2.12,130.77,19.23,9.17,68.14,44.57,7,Indian
A Mukund,19,1,23,0,0,0,2,9.5,82.61,4.35,0,0,0,3,Indian
A Nehra,41,4,63,106,1974,2537,88,0.47,65.08,6.35,7.71,23.93,18.62,17,Indian
A Nortje,8,0,13,43,706,946,30,0.27,61.54,0,8.04,22,16.42,7,Overseas
A Singh,2,0,10,28,486,639,23,0.09,20,0,7.89,22.82,17.36,1,Indian
A Symonds,974,115,781,20,540,694,36,27.06,124.71,14.72,7.71,34.7,27,20,Overseas
A Tomar,4,1,8,0,0,0,1,4,50,12.5,0,0,0,0,Overseas
A Uniyal,4,0,7,2,38,67,2,2,57.14,0,10.58,33.5,19,0,Overseas
A Zampa,5,1,8,21,292,373,14,0.36,62.5,12.5,7.66,17.76,13.9,1,Overseas
AA Bilakhia,69,5,88,0,0,0,7,9.86,78.41,5.68,0,0,0,1,Overseas
AA Chavan,12,2,11,8,255,339,13,0.92,109.09,18.18,7.98,42.37,31.87,3,Indian
AA Jhunjhunwala,217,24,218,1,88,130,18,12.06,99.54,11.01,8.86,129.99,87.99,10,Overseas
AA Noffke,9,1,12,1,25,41,1,9,75,8.33,9.84,41,25,0,Overseas
AB Agarkar,179,18,160,29,820,1174,42,4.26,111.87,11.25,8.59,40.48,28.28,4,Indian
AB Barath,42,6,43,0,0,0,3,14,97.67,13.95,0,0,0,0,Indian
AB Dinda,26,2,50,69,1589,2103,76,0.34,52,4,7.94,30.48,23.03,7,Indian
AB McDonald,123,13,103,11,188,263,10,12.3,119.42,12.62,8.39,23.91,17.09,0,Overseas
AB de Villiers,5181,667,3487,0,0,0,170,30.48,148.58,19.13,0,0,0,120,Overseas
AC Blizzard,120,23,91,0,0,0,7,17.14,131.87,25.27,0,0,0,4,Overseas
AC Gilchrist,2069,331,1555,1,1,0,80,25.86,133.05,21.29,0,0,1,51,Overseas
AC Thomas,20,2,19,14,327,416,15,1.33,105.26,10.53,7.63,29.71,23.36,3,Overseas
AC Voges,181,18,143,0,56,76,8,22.62,126.57,12.59,8.14,760000,560000,1,Overseas
AD Hales,148,19,119,0,0,0,6,24.67,124.37,15.97,0,0,0,2,Overseas
AD Mascarenhas,79,6,79,19,310,365,13,6.08,100,7.59,7.06,19.21,16.32,2,Overseas
